elev_ft_NAVD88,elev_ft_NGVD29,area_ft2,area_m2,area_km2,area_mi2,area_acre,volume_ft3,volume_m3,volume_km3,volume_mi3,volume_acreft
4205.74,4202.26,50295442700,4672599525,4672.6,1804.1,1154619.87,7.91E+11,22390335669,22.39,5.37,18152187.08
4205.75,4202.27,50323151428,4675173750,4675.17,1805.09,1155255.97,7.91E+11,22404248802,22.4,5.38,18163466.67
4205.76,4202.28,50338927284,4676639375,4676.64,1805.66,1155618.13,7.92E+11,22418166852,22.42,5.38,18174750.25
4205.77,4202.29,50355879635,4678214300,4678.21,1806.27,1156007.31,7.92E+11,22432785574,22.43,5.38,18186601.87
4205.78,4202.3,50375522426,4680039175,4680.04,1806.97,1156458.24,7.93E+11,22446713258,22.45,5.39,18197893.25
4205.79,4202.31,50392255194,4681593700,4681.59,1807.57,1156842.37,7.93E+11,22461342547,22.46,5.39,18209753.44
4205.8,4202.32,50407751189,4683033325,4683.03,1808.13,1157198.11,7.94E+11,22475279672,22.48,5.39,18221052.48
4205.81,4202.33,50431090307,4685201600,4685.2,1808.97,1157733.9,7.94E+11,22489918879,22.49,5.4,18232920.71
4205.82,4202.34,50446701744,4686651950,4686.65,1809.53,1158092.29,7.95E+11,22503866757,22.5,5.4,18244228.47
4205.83,4202.35,50463778150,4688238400,4688.24,1810.14,1158484.3,7.95E+11,22518516771,22.52,5.4,18256105.46
4205.84,4202.36,50530523005,4694439200,4694.44,1812.53,1160016.55,7.96E+11,22532473704,22.53,5.41,18267420.56
4205.85,4202.37,50547496885,4696016125,4696.02,1813.14,1160406.21,7.96E+11,22547148036,22.55,5.41,18279317.26
4205.86,4202.38,50563280276,4697482450,4697.48,1813.71,1160768.55,7.97E+11,22561128103,22.56,5.41,18290651.12
4205.87,4202.39,50580334077,4699066800,4699.07,1814.32,1161160.05,7.97E+11,22575811947,22.58,5.42,18302555.53
4205.88,4202.4,50600222824,4700914525,4700.91,1815.03,1161616.63,7.98E+11,22589801956,22.59,5.42,18313897.45
4205.89,4202.41,50617335288,4702504325,4702.5,1815.65,1162009.48,7.98E+11,22604496535,22.6,5.42,18325810.57
4205.9,4202.42,50633267221,4703984450,4703.98,1816.22,1162375.22,7.99E+11,22618495937,22.62,5.43,18337160.1
4205.91,4202.43,50656315714,4706125725,4706.13,1817.05,1162904.34,7.99E+11,22633200938,22.63,5.43,18349081.67
4205.92,4202.44,50672345060,4707614900,4707.61,1817.62,1163272.32,8.00E+11,22647211126,22.65,5.43,18360439.94
4205.93,4202.45,50689970425,4709252350,4709.25,1818.25,1163676.94,8.00E+11,22661926709,22.66,5.44,18372370.09
4205.94,4202.46,50712280782,4711325050,4711.33,1819.05,1164189.12,8.01E+11,22675946497,22.68,5.44,18383736.14
4205.95,4202.47,50730429812,4713011150,4713.01,1819.7,1164605.76,8.01E+11,22690673753,22.69,5.44,18395675.75
4205.96,4202.48,50747405575,4714588250,4714.59,1820.31,1164995.47,8.02E+11,22704704552,22.7,5.45,18407050.74
4205.97,4202.49,50766211472,4716335375,4716.34,1820.99,1165427.19,8.02E+11,22719442084,22.72,5.45,18418998.68
4205.98,4202.5,50788147783,4718373325,4718.37,1821.77,1165930.78,8.03E+11,22733483927,22.73,5.45,18430382.62
4205.99,4202.51,50807648759,4720185025,4720.19,1822.47,1166378.46,8.03E+11,22748233376,22.75,5.46,18442340.22
4206,4202.52,50826130124,4721902000,4721.9,1823.14,1166802.73,8.04E+11,22762285728,22.76,5.46,18453732.68
4206.01,4202.53,50849668644,4724088800,4724.09,1823.98,1167343.1,8.04E+11,22776343978,22.78,5.46,18465129.91
